instance,pivot_rule,rows,cols,nonzeros,it_p1,it_p2,scale,objective,var_max_bits_basic_sum_p1,var_max_bits_basic_avg_p1,var_max_bits_basic_max_p1,var_bits_max_fractionality_sum_p1,var_bits_max_fractionality_avg_p1,var_bits_max_fractionality_max_p1,var_max_bits_basic_sum_p2,var_max_bits_basic_avg_p2,var_max_bits_basic_max_p2,var_bits_max_fractionality_sum_p2,var_bits_max_fractionality_avg_p2,var_bits_max_fractionality_max_p2
psp1,dantzig,62,132,306,15,63,1,99149/5,120,8,8,15,1,1,504,8,8,63,1,1
psp1,bland,62,132,306,19,142,1,99149/5,152,8,8,19,1,1,1136,8,8,142,1,1
psp1,best,62,132,306,9,75,1,99149/5,72,8,8,9,1,1,600,8,8,75,1,1
psp1,random,62,132,306,16,105,1,99149/5,128,8,8,16,1,1,840,8,8,105,1,1
assad1.5k,dantzig,242,304,902,100,99,1,498,536,5,6,100,1,1,495,5,5,99,1,1
assad1.5k,bland,242,304,902,183,151,1,498,1013,5,7,184,1,2,755,5,5,151,1,1
assad1.5k,best,242,304,902,108,141,1,498,607,5,7,109,1,2,705,5,5,141,1,1
assad1.5k,random,242,304,902,125,185,1,498,688,5,6,125,1,1,936,5,7,191,1,2
assad1.6k,dantzig,242,309,912,98,97,1,497,542,5,7,106,1,2,523,5,7,132,1,2
assad1.6k,bland,242,309,912,125,127,1,497,667,5,6,125,1,1,645,5,6,137,1,2
assad1.6k,best,242,309,912,80,182,1,497,436,5,6,80,1,1,910,5,5,182,1,1
assad1.6k,random,242,309,912,135,150,1,497,771,5,7,137,1,2,750,5,5,150,1,1
chen0,dantzig,146,464,1096,262,0,1,-712143/10,2139,8,11,298,1,3,0,,,0,,
chen0,bland,146,464,1096,2445,0,1,-712143/10,19656,8,11,2545,1,3,0,,,0,,
chen0,best,146,464,1096,415,0,1,-712143/10,3324,8,9,419,1,2,0,,,0,,
tajo6,dantzig,202,396,1184,128,200,11669232765496284370650923440122028665588626382703192146332848304939580514306006827481503925340213374328909359711591830773858765115997094755786169475044563838692138520264743518305338474462625875977725969432453703246973571713500000,-147410793858587718560460260490374553578808387400974443457587816163181774266927761586808726860041631847765483610451217020290837272982207943357961292217795049705533079436128436790679205753257575589692632020792072488812368628451235034259000,99072,774,774,128,1,1,154869,774,778,242,1,3
chen0,random,146,464,1096,598,0,1,-712143/10,4802,8,9,617,1,2,0,,,0,,
